Tank,date,week,average.temp,power,trophic.level,dawn1,dusk,dawn2,dawn1time,dusktime,dawn2time,hours1,hours2,temp.dawn1,temp.dusk,temp.dawn2
4,39687,9,25.3,300,PZN,5.35,6.87,5.32,0.229166667,0.833333333,0.229166667,14.5,9.5,26.55,29.10,27.60
5,39687,9,18.657,100,PZN,6.44,7.46,6.35,0.229166667,0.833333333,0.229166667,14.5,9.5,22.00,23.60,22.70
6,39687,9,13.173,50,P,8.95,9.32,8.73,0.229166667,0.833333333,0.229166667,14.5,9.5,20.10,22.40,21.10
7,39687,9,26.035,350,PZN,5.26,6.98,5.63,0.229166667,0.833333333,0.229166667,14.5,9.5,26.60,28.00,27.10
8,39687,9,28.997,450,P,4.42,6.13,5.02,0.229166667,0.833333333,0.229166667,14.5,9.5,26.70,29.30,27.50
9,39687,9,27.997,400,PZ,5.74,6.13,4.52,0.229166667,0.833333333,0.229166667,14.5,9.5,25.40,27.90,25.90
10,39687,9,22.3658,200,PZN,5.69,7.03,6.78,0.229166667,0.833333333,0.229166667,14.5,9.5,25.10,27.80,26.20
11,39687,9,17.57,0,PZ,7.61,7.65,6.78,0.229166667,0.833333333,0.229166667,14.5,9.5,20.10,20.50,20.20
12,39687,9,22.034,200,PZ,7.78,7.95,7.13,0.229166667,0.833333333,0.229166667,14.5,9.5,23.10,24.50,23.50
13,39687,9,23.568,250,PZ,6.81,7.03,6.09,0.229166667,0.833333333,0.229166667,14.5,9.5,23.10,24.40,23.50
14,39687,9,25.723,350,P,7.83,8.98,8.03,0.229166667,0.833333333,0.229166667,14.5,9.5,22.40,21.80,21.60
15,39687,9,18.616,100,P,9,9.57,8.91,0.229166667,0.833333333,0.229166667,14.5,9.5,19.30,20.60,19.60
16,39687,9,20.135,150,PZN,5.66,6.96,5.23,0.229166667,0.833333333,0.229166667,14.5,9.5,21.10,23.70,22.00
17,39687,9,23.567,250,P,7.48,8.46,7.93,0.229166667,0.833333333,0.229166667,14.5,9.5,20.90,21.30,21.20
18,39687,9,28.997,450,PZN,3.32,5.32,4.25,0.229166667,0.833333333,0.229166667,14.5,9.5,27.00,27.50,27.30
19,39687,9,19.874,150,PZ,8.94,9.1,8.42,0.229166667,0.833333333,0.229166667,14.5,9.5,18.90,20.00,19.50
20,39687,9,25.978,350,PZ,8.58,8.93,7.58,0.229166667,0.833333333,0.229166667,14.5,9.5,16.40,21.50,17.80
21,39687,9,13.248,50,PZ,9.19,9.28,8.392,0.229166667,0.833333333,0.229166667,14.5,9.5,20.10,21.30,21.00
22,39687,9,25.102,300,PZ,5.45,5.69,4.61,0.229166667,0.833333333,0.229166667,14.5,9.5,25.10,26.50,25.40
23,39687,9,27.9765,400,PZN,3.47,5.38,4.03,0.229166667,0.833333333,0.229166667,14.5,9.5,26.10,29.60,26.00
24,39687,9,13.987,50,PZN,7.47,8.45,7.78,0.229166667,0.833333333,0.229166667,14.5,9.5,21.00,21.80,21.40
25,39687,9,15.951,0,P,7.71,8.05,7.52,0.229166667,0.833333333,0.229166667,14.5,9.5,17.40,19.50,18.50
26,39687,9,23.975,250,PZN,5.07,6.57,5.22,0.229166667,0.833333333,0.229166667,14.5,9.5,21.90,23.50,25.60
27,39687,9,24.568,300,P,8.629,9.68,8.92,0.229166667,0.833333333,0.229166667,14.5,9.5,25.80,27.50,25.80
28,39687,9,18.996,100,PZ,8.51,8.62,7.65,0.229166667,0.833333333,0.229166667,14.5,9.5,19.40,20.40,19.80
29,39687,9,21.236,200,P,6.36,7.02,6.09,0.229166667,0.833333333,0.229166667,14.5,9.5,22.10,24.20,22.80
30,39687,9,28.977,450,PZ,6.48,6.99,5.195,0.229166667,0.833333333,0.229166667,14.5,9.5,24.60,25.70,24.90
