treatment,tank,week,species,stage,size.in.mm
PZN,23,8,Daphnia,mature,1.19
PZN,23,8,Daphnia,mature,1.343
PZN,23,8,Daphnia,mature,1.513
PZ,19,9,Daphnia,mature,0.765
PZ,20,9,Daphnia,mature,1.36
PZ,20,9,Daphnia,mature,0.952
PZ,20,9,Daphnia,mature,1.394
PZ,20,9,Daphnia,mature,1.394
PZ,20,9,Daphnia,mature,1.241
PZ,20,9,Daphnia,mature,1.054
PZ,20,9,Daphnia,mature,1.36
PZ,20,9,Daphnia,mature,1.36
PZ,20,9,Daphnia,mature,1.054
PZ,20,9,Daphnia,mature,1.037
PZ,20,9,Daphnia,mature,1.292
PZ,20,9,Daphnia,mature,1.734
PZN,2,9,Daphnia,mature,0.765
PZN,2,9,Daphnia,mature,1.037
PZN,2,9,Daphnia,mature,1.904
PZN,18,9,Daphnia,mature,0.816
PZN,18,9,Daphnia,mature,1.071
