Tank,date,week,average.temp,power,trophic.level,dawn1,dusk,dawn2,dawn1time,dusktime,dawn2time,hours1,hours2,calc.NPP,calc.ER,chla,Pcarbon,Phyto.Shannon.Wiener.Diversity,Diatom.Cyano.Ratio,Daphnia.Copepod.Ratio,zoo.ug.carbon.liter,total.zoo.abundance.liter,community.size,Daphnia.mature.size,Daphnia.Copepod.Ratio,abundance.Daphnia,abundance.copepods,total.adults,total.juveniles,total.eggs,total.larvae
22,07/08/12,6,27.125,300,PZ,6.72,7.97,7.31,04:30:00,20:00:00,04:30:00,15.5,8.5,1.935483871,1.863529412,0.800,44,,,0,2.340132442,0.2,,,0,,0.2,,0.2,,
20,07/08/12,6,28.456,350,PZ,7.55,8.99,8.19,04:30:00,20:00:00,04:30:00,15.5,8.5,2.229677419,2.258823529,0.540,29.7,,,18,38.64844612,3.8,,,18,3.6,0.2,2.2,0.4,,1.2
9,07/08/12,6,28.465,400,PZ,6.19,7.7,6.83,04:30:00,20:00:00,04:30:00,15.5,8.5,2.338064516,2.456470588,0.530,29.15,,,,,,,,,,,,,,
30,07/08/12,6,29.458,450,PZ,6.18,7.78,6.42,04:30:00,20:00:00,04:30:00,15.5,8.5,2.477419355,3.84,0.080,4.4,,,4,5.701125282,1,,,4,0.8,0.2,,0.8,,0.2
2,07/08/12,6,18.616,0,PZN,8.95,9.05,7.79,04:30:00,20:00:00,04:30:00,15.5,8.5,0.15483871,3.557647059,14.280,785.4,,,0,4.311797187,0.4,,,0,,0.4,,0.4,,
24,07/08/12,6,18.978,50,PZN,8.51,8.65,8.55,04:30:00,20:00:00,04:30:00,15.5,8.5,0.216774194,0.282352941,8.730,480.15,,,0,25.62748234,3.2,,,0,,2.2,,2.2,,
5,07/08/12,6,22.364,100,PZN,8.21,8.36,8.28,04:30:00,20:00:00,04:30:00,15.5,8.5,0.232258065,0.225882353,6.870,377.85,,,,,,,,,,,,,,
16,07/08/12,6,23.657,150,PZN,8.03,8.11,7.95,04:30:00,20:00:00,04:30:00,15.5,8.5,0.123870968,0.451764706,5.970,328.35,,,,,,,,,,,,,,
10,07/08/12,6,25.1238,200,PZN,7.36,7.56,6.91,04:30:00,20:00:00,04:30:00,15.5,8.5,0.309677419,1.835294118,4.630,254.65,,,,,,,,,,,,,,
26,07/08/12,6,26.345,250,PZN,6.29,6.58,6.52,04:30:00,20:00:00,04:30:00,15.5,8.5,0.449032258,0.169411765,3.760,206.8,,,,,,,,,,,,,,
4,07/08/12,6,27.126,300,PZN,7.11,7.62,7.56,04:30:00,20:00:00,04:30:00,15.5,8.5,0.789677419,0.169411765,3.560,195.8,,,,2.288214922,0.2,,,,,0.2,,0.2,,
7,07/08/12,6,28.003,350,PZN,6.28,6.9,6.61,04:30:00,20:00:00,04:30:00,15.5,8.5,0.96,0.818823529,2.230,122.65,,,,,,,,,,,,,,
23,07/08/12,6,28.645,400,PZN,6.74,7.38,7.2,04:30:00,20:00:00,04:30:00,15.5,8.5,0.990967742,0.508235294,1.030,56.65,,,,,,,,,,,,,,
18,07/08/12,6,29.003,450,PZN,5.48,6.99,5.88,04:30:00,20:00:00,04:30:00,15.5,8.5,2.338064516,3.134117647,0.850,46.75,,,,4.416073696,0.4,,,,,0.4,,0.4,,
25,14/08/12,7,17.665,0,P,8.49,9.09,8.59,05:30:00,20:00:00,05:30:00,14.5,9.5,0.993103448,1.263157895,5.160,283.8,0.81672045,0,,,,,,,,,,,,
6,14/08/12,7,18.711,50,P,7.86,8.47,7.96,05:30:00,20:00:00,05:30:00,14.5,9.5,1.009655172,1.288421053,3.450,189.75,0.74497587,0.037037037,,,,,,,,,,,,
15,14/08/12,7,21.664,100,P,7.84,8.67,8.15,05:30:00,20:00:00,05:30:00,14.5,9.5,1.373793103,1.313684211,2.790,153.45,0.86946894,0,,,,,,,,,,,,
3,14/08/12,7,22.654,150,P,7.01,7.97,7.41,05:30:00,20:00:00,05:30:00,14.5,9.5,1.588965517,1.414736842,2.750,151.25,0.8148023,0,,,,,,,,,,,,
29,14/08/12,7,23.65,200,P,6.56,7.58,6.89,05:30:00,20:00:00,05:30:00,14.5,9.5,1.688275862,1.743157895,2.340,128.7,1.18857464,0,,,,,,,,,,,,
17,14/08/12,7,24.035,250,P,7.451,8.56,7.85,05:30:00,20:00:00,05:30:00,14.5,9.5,1.835586207,1.793684211,1.990,109.45,0.87875055,0,,,,,,,,,,,,
27,14/08/12,7,25.138,300,P,6.21,7.47,6.74,05:30:00,20:00:00,05:30:00,14.5,9.5,2.085517241,1.844210526,1.830,100.65,0.99815023,0,,,,,,,,,,,,
14,14/08/12,7,26.486,350,P,6.891,8.24,7.42,05:30:00,20:00:00,05:30:00,14.5,9.5,2.232827586,2.071578947,1.800,99,0.61254621,0,,,,,,,,,,,,
1,14/08/12,7,27.312,400,P,5.87,7.4,6.54,05:30:00,20:00:00,05:30:00,14.5,9.5,2.532413793,2.172631579,1.770,97.35,0.97452369,0.010638298,,,,,,,,,,,,
8,14/08/12,7,28.302,450,P,5.76,7.69,6.78,05:30:00,20:00:00,05:30:00,14.5,9.5,3.194482759,2.298947368,0.080,4.4,0.64148019,0.005128205,,,,,,,,,,,,
11,14/08/12,7,17.95,0,PZ,8.37,8.98,8.41,05:30:00,20:00:00,05:30:00,14.5,9.5,1.009655172,1.44,8.800,484,0.72395312,0,,,,,,,,,,,,
21,14/08/12,7,18.746,50,PZ,7.83,8.56,7.99,05:30:00,20:00:00,05:30:00,14.5,9.5,1.208275862,1.44,6.760,371.8,1.26525851,0.068965517,0.2,13.91123998,1.2,,,0.2,0.2,1,0.2,1,,
28,14/08/12,7,21.76,100,PZ,8.64,9.44,8.74,05:30:00,20:00:00,05:30:00,14.5,9.5,1.324137931,1.768421053,6.050,332.75,0.80697926,0,0,4.404706594,0.4,,,0,,0.4,,0.4,,
19,14/08/12,7,22.039,150,PZ,8.39,9.23,8.49,05:30:00,20:00:00,05:30:00,14.5,9.5,1.390344828,1.869473684,4.260,234.3,0.90192472,0,0,9.144397961,0.8,,,0,,0.8,,0.8,,
12,14/08/12,7,23.658,200,PZ,7.06,7.96,7.17,05:30:00,20:00:00,05:30:00,14.5,9.5,1.489655172,1.995789474,2.810,154.55,0.87840033,0,,,,,,,,,,,,
13,14/08/12,7,24.103,250,PZ,7.61,8.55,7.712,05:30:00,20:00:00,05:30:00,14.5,9.5,1.555862069,2.117052632,1.840,101.2,0.90170026,0.066666667,,,,,,,,,,,,
22,14/08/12,7,25.326,300,PZ,6.68,7.76,6.78,05:30:00,20:00:00,05:30:00,14.5,9.5,1.787586207,2.475789474,1.640,90.2,0.87098485,0,6.5,1.88010558,0.2,,,6.5,0.4,0.2,0.2,0.4,,
20,14/08/12,7,26.456,350,PZ,7.64,8.79,7.68,05:30:00,20:00:00,05:30:00,14.5,9.5,1.903448276,2.804210526,1.500,82.5,1.00133651,0.25,,17.55748268,3,,,,2.6,0.4,1,1.4,,0.2
9,14/08/12,7,27.312,400,PZ,6.696,7.98,6.781,05:30:00,20:00:00,05:30:00,14.5,9.5,2.125241379,3.029052632,1.426,78.43,1.19340857,0.25,,,,,,,,,,,,
30,14/08/12,7,28.003,450,PZ,6.493,7.86,6.53,05:30:00,20:00:00,05:30:00,14.5,9.5,2.26262069,3.36,0.590,32.45,0.93590109,0,0,8.088750163,0.8,,,0,,,0.8,,,
2,14/08/12,7,17.76,0,PZN,8.21,8.83,7.86,05:30:00,20:00:00,05:30:00,14.5,9.5,1.026206897,2.450526316,12.010,660.55,0.95468092,0.02,,,,,,,,,,,,
24,14/08/12,7,18.413,50,PZN,8.03,8.7,7.42,05:30:00,20:00:00,05:30:00,14.5,9.5,1.108965517,3.233684211,11.880,653.4,1.01552713,0.011764706,0,3.649899807,0.8,,,0,,0.8,0.6,0.2,,
5,14/08/12,7,21.697,100,PZN,7.48,8.3,7.98,05:30:00,20:00:00,05:30:00,14.5,9.5,1.357241379,0.808421053,5.430,298.65,1.02466918,0.019607843,,,,,,,,,,,,
16,14/08/12,7,22.456,150,PZN,7.22,8.08,7.1,05:30:00,20:00:00,05:30:00,14.5,9.5,1.423448276,2.475789474,4.600,253,0.46179209,0,,,,,,,,,,,,
10,14/08/12,7,23.015,200,PZN,6.711,7.63,7.14,05:30:00,20:00:00,05:30:00,14.5,9.5,1.521103448,1.237894737,3.830,210.65,0.71944729,0,,,,,,,,,,,,
26,14/08/12,7,24.687,250,PZN,6.64,7.76,7.52,05:30:00,20:00:00,05:30:00,14.5,9.5,1.853793103,0.606315789,3.820,210.1,0.9382859,0,0,2.340132442,0.2,,,0,,0.2,,0.2,,
4,14/08/12,7,25.687,300,PZN,6.05,7.36,7.03,05:30:00,20:00:00,05:30:00,14.5,9.5,2.168275862,0.833684211,3.750,206.25,0.98476309,0,,,,,,,,,,,,
7,14/08/12,7,26.315,350,PZN,5.215,6.7,5.87,05:30:00,20:00:00,05:30:00,14.5,9.5,2.457931034,2.096842105,3.250,178.75,0.91688273,0,,,,,,,,,,,,
23,14/08/12,7,27.453,400,PZN,5.56,7.53,5.65,05:30:00,20:00:00,05:30:00,14.5,9.5,3.260689655,4.749473684,1.350,74.25,0.99950397,0,,,,,,,,,,,,
18,14/08/12,7,28.645,450,PZN,4.74,7.45,5.32,05:30:00,20:00:00,05:30:00,14.5,9.5,4.485517241,5.381052632,0.760,41.8,0.90109312,0,,,,,,,,,,,,
25,21/08/12,8,14.038,0,P,8.96,9.47,9.28,05:30:00,20:00:00,05:30:00,14.5,9.5,0.844137931,0.48,5.830,320.65,,,,,,,,,,,,,,
6,21/08/12,8,15.091,50,P,7.79,8.2,8.09,05:30:00,20:00:00,05:30:00,14.5,9.5,0.67862069,0.277894737,3.950,217.25,,,,,,,,,,,,,,
15,21/08/12,8,17.665,100,P,8.45,9.09,8.88,05:30:00,20:00:00,05:30:00,14.5,9.5,1.059310345,0.530526316,3.940,216.7,,,,,,,,,,,,,,
3,21/08/12,8,18.654,150,P,7.29,7.99,7.7,05:30:00,20:00:00,05:30:00,14.5,9.5,1.15862069,0.732631579,3.080,169.4,,,,,,,,,,,,,,
29,21/08/12,8,19.564,200,P,7.33,8.07,7.65,05:30:00,20:00:00,05:30:00,14.5,9.5,1.224827586,1.061052632,2.620,144.1,,,,,,,,,,,,,,
17,21/08/12,8,20.158,250,P,7.55,8.6,8.18,05:30:00,20:00:00,05:30:00,14.5,9.5,1.737931034,1.061052632,2.530,139.15,,,,,,,,,,,,,,
27,21/08/12,8,21.038,300,P,6.69,7.93,7.42,05:30:00,20:00:00,05:30:00,14.5,9.5,2.052413793,1.288421053,1.780,97.9,,,,,,,,,,,,,,
14,21/08/12,8,21.999,350,P,6.81,8.31,7.68,05:30:00,20:00:00,05:30:00,14.5,9.5,2.482758621,1.591578947,1.410,77.55,,,,,,,,,,,,,,
1,21/08/12,8,23.789,400,P,5.02,7.2,6.52,05:30:00,20:00:00,05:30:00,14.5,9.5,3.608275862,1.717894737,1.140,62.7,,,,,,,,,,,,,,
8,21/08/12,8,27.469,450,P,4.03,6.59,5.79,05:30:00,20:00:00,05:30:00,14.5,9.5,4.237241379,2.021052632,0.350,19.25,,,,,,,,,,,,,,
11,21/08/12,8,17.57,0,PZ,9.35,9.86,9.05,05:30:00,20:00:00,05:30:00,14.5,9.5,0.844137931,2.046315789,3.660,201.3,,,0,12.0494227,,,,0,2.6,,,,2.2,0.4
21,21/08/12,8,15.7465,50,PZ,8.05,8.53,7.75,05:30:00,20:00:00,05:30:00,14.5,9.5,0.794482759,1.970526316,4.490,246.95,,,2,197.692613,42.2,0.9006,1.3985,2,6.8,3.4,3,6.8,0.2,0.4
28,21/08/12,8,17.855,100,PZ,9.19,9.91,9.08,05:30:00,20:00:00,05:30:00,14.5,9.5,1.191724138,2.096842105,3.160,173.8,,,0.30769231,53.26391299,39,0.84,1.3648,0.30769231,,2.6,0.2,2.8,,0.4
19,21/08/12,8,18.123,150,PZ,9.01,9.95,9.08,05:30:00,20:00:00,05:30:00,14.5,9.5,1.555862069,2.197894737,3.120,171.6,,,0.10714286,41.16568046,23.2,0.8756,1.3477,0.10714286,0.6,5.6,0.4,4.6,1,0.2
12,21/08/12,8,19.203,200,PZ,7.03,8.09,7.12,05:30:00,20:00:00,05:30:00,14.5,9.5,1.754482759,2.450526316,1.660,91.3,,,1.33333,2.288214922,6.6,0.8523,,1.33333,0.8,0.2,,0.2,0.8,
13,21/08/12,8,20.158,250,PZ,6.88,8.06,7,05:30:00,20:00:00,05:30:00,14.5,9.5,1.953103448,2.677894737,1.360,74.8,,,,4.204657208,6.4,0.7704,,,,0.4,,0.4,,
22,21/08/12,8,21.648,300,PZ,6.51,8.12,6.956,05:30:00,20:00:00,05:30:00,14.5,9.5,2.664827586,2.940631579,1.210,66.55,,,1.0952381,6.103911305,3.8,0.5043,1.2648,1.0952381,4.6,6,1.2,3.6,2.8,1
20,21/08/12,8,22.978,350,PZ,6.83,8.71,7.36,05:30:00,20:00:00,05:30:00,14.5,9.5,3.111724138,3.410526316,0.540,29.7,,,1.0952381,2.288214922,0.4,0.5643,1.2693,1.0952381,,,2,,,
9,21/08/12,8,23.996,400,PZ,6.4,8.81,7.29,05:30:00,20:00:00,05:30:00,14.5,9.5,3.988965517,3.84,0.180,9.9,,,0,0.629174,0.4,0.5345,1.2501,0,0.8,,,,0.8,
30,21/08/12,8,24.978,450,PZ,6.51,9.02,7.43,05:30:00,20:00:00,05:30:00,14.5,9.5,4.154482759,4.016842105,0.050,2.75,,,0.77272727,0.52714,0.2,0.5897,1.2474,0.77272727,1.6,4.6,,3.8,1.8,0.2
2,21/08/12,8,15.187,0,PZN,9.23,9.58,8.51,05:30:00,20:00:00,05:30:00,14.5,9.5,0.579310345,2.703157895,6.170,339.35,,,0,107.5829948,12.2,0.5251,1.788,0,,1.8,,1.8,,
24,21/08/12,8,15.632,50,PZN,8.14,8.53,8.35,05:30:00,20:00:00,05:30:00,14.5,9.5,0.645517241,0.454736842,6.120,336.6,,,0.13636364,57.10306809,10.8,0.6347,1.6987,0.13636364,0.6,4.4,1,3.4,0.2,0.4
5,21/08/12,8,17.687,100,PZN,7.69,8.16,8.12,05:30:00,20:00:00,05:30:00,14.5,9.5,0.777931034,0.101052632,4.940,271.7,,,1.22222,51.29677069,7.8,0.5504,,1.22222,2.2,1.8,,1.6,0.2,2.2
16,21/08/12,8,18.654,150,PZN,7.29,7.88,7.45,05:30:00,20:00:00,05:30:00,14.5,9.5,0.976551724,1.086315789,4.690,257.95,,,1,31.50824379,5.7,0.51,1.543,1,0.2,0.2,,0.2,0.2,
10,21/08/12,8,19.456,200,PZN,6.55,7.2,6.23,05:30:00,20:00:00,05:30:00,14.5,9.5,1.075862069,2.450526316,3.060,168.3,,,,21.1682537,5,0.5971,,,0.8,0.2,,3,0.2,0.8
26,21/08/12,8,20.468,250,PZN,6.25,6.96,5.96,05:30:00,20:00:00,05:30:00,14.5,9.5,1.175172414,2.526315789,3.000,165,,,0.272727,20.00353255,3.8,0.4862,1.4987,0.272727,0.6,2.2,0.2,1.6,0.2,0.8
4,21/08/12,8,21.798,300,PZN,6.21,7.03,6.28,05:30:00,20:00:00,05:30:00,14.5,9.5,1.357241379,1.894736842,1.880,103.4,,,0.17857143,18.41096816,2.8,0.4845,,0.17857143,1,5.6,,3,3.4,0.2
7,21/08/12,8,23.003,350,PZN,5.88,6.71,5.98,05:30:00,20:00:00,05:30:00,14.5,9.5,1.373793103,1.844210526,1.000,55,,,2.33333,4.723392961,1.8,0.4845,1.2969,2.33333,1.4,0.4,,0.4,0.8,0.6
23,21/08/12,8,23.78,400,PZN,6.01,7.28,6.56,05:30:00,20:00:00,05:30:00,14.5,9.5,2.102068966,1.818947368,0.890,48.95,,,0.17647059,2.183037295,1.2,0.5454,0.9435,0.17647059,1.2,4.4,0.2,4.2,0.8,0.2
18,21/08/12,8,23.125,450,PZN,5.08,6.48,5.47,05:30:00,20:00:00,05:30:00,14.5,9.5,2.317241379,2.551578947,0.760,41.8,,,0.30434783,1.77849,0.2,0.47945,,0.30434783,1.4,4.4,0.2,4.6,0.8,0.2
25,28/08/12,9,15.951,0,P,7.71,8.05,7.52,05:30:00,20:00:00,05:30:00,14.5,9.5,0.562758621,1.338947368,5.830,320.65,0.86160174,0,,,,,,,,,,,,
6,28/08/12,9,13.173,50,P,8.95,9.32,8.73,05:30:00,20:00:00,05:30:00,14.5,9.5,0.612413793,1.490526316,3.940,216.7,0.64658073,0,,,,,,,,,,,,
15,28/08/12,9,18.616,100,P,9,9.57,8.91,05:30:00,20:00:00,05:30:00,14.5,9.5,0.943448276,1.667368421,3.900,214.5,1.07292454,0,,,,,,,,,,,,
3,28/08/12,9,19.456,150,P,6.35,6.98,6.25,05:30:00,20:00:00,05:30:00,14.5,9.5,1.042758621,1.844210526,3.080,169.4,0.8459934,0,,,,,,,,,,,,
29,28/08/12,9,21.236,200,P,6.36,7.02,6.09,05:30:00,20:00:00,05:30:00,14.5,9.5,1.092413793,2.349473684,2.620,144.1,1.05404648,0,,,,,,,,,,,,
17,28/08/12,9,23.567,250,P,7.48,8.46,7.93,05:30:00,20:00:00,05:30:00,14.5,9.5,1.622068966,1.338947368,2.530,139.15,0.79670162,0,,,,,,,,,,,,
27,28/08/12,9,24.568,300,P,8.629,9.68,8.92,05:30:00,20:00:00,05:30:00,14.5,9.5,1.739586207,1.92,1.780,97.9,0.82665009,0.040540541,,,,,,,,,,,,
14,28/08/12,9,25.723,350,P,7.83,8.98,8.03,05:30:00,20:00:00,05:30:00,14.5,9.5,1.903448276,2.4,1.410,77.55,1.02838146,0,,,,,,,,,,,,
1,28/08/12,9,26.497,400,P,7.34,8.65,7.62,05:30:00,20:00:00,05:30:00,14.5,9.5,2.168275862,2.602105263,1.140,62.7,0.42497117,0,,,,,,,,,,,,
8,28/08/12,9,28.997,450,P,4.42,6.13,5.02,05:30:00,20:00:00,05:30:00,14.5,9.5,2.830344828,2.804210526,0.350,19.25,1.00266582,0,,,,,,,,,,,,
11,28/08/12,9,,0,PZ,7.61,7.65,6.78,05:30:00,20:00:00,05:30:00,14.5,9.5,0.066206897,2.197894737,9.640,530.2,0.92410966,0,3,1.741216727,0.8,,,3,0.6,0.2,,0.2,0.4,0.2
21,28/08/12,9,13.248,50,PZ,9.19,9.28,8.392,05:30:00,20:00:00,05:30:00,14.5,9.5,0.148965517,2.243368421,7.100,390.5,1.14310693,0.454545455,,,,,,,,,,,,
28,28/08/12,9,18.996,100,PZ,8.51,8.62,7.65,05:30:00,20:00:00,05:30:00,14.5,9.5,0.182068966,2.450526316,4.230,232.65,0.65662845,0,,,,,,,,,,,,
19,28/08/12,9,19.874,150,PZ,8.94,9.1,8.42,05:30:00,20:00:00,05:30:00,14.5,9.5,0.264827586,1.717894737,2.430,133.65,0.85373984,0,0.75,27.32537943,4.2,,,0.75,1.8,2.4,0.2,2.4,1,0.6
12,28/08/12,9,22.034,200,PZ,7.78,7.95,7.13,05:30:00,20:00:00,05:30:00,14.5,9.5,0.28137931,2.071578947,1.950,107.25,0.81957268,0,0.3,18.05866184,2.6,,,0.3,0.6,1.8,0.6,0.8,0.6,0.4
13,28/08/12,9,23.568,250,PZ,6.81,7.03,6.09,05:30:00,20:00:00,05:30:00,14.5,9.5,0.364137931,2.374736842,1.890,103.95,1.19151032,0,,,0.2,,,,,0.2,0.2,,,
22,28/08/12,9,25.102,300,PZ,5.45,5.69,4.61,05:30:00,20:00:00,05:30:00,14.5,9.5,0.397241379,2.728421053,1.560,85.8,1.01140426,0,,,,,,,,,,,,
20,28/08/12,9,25.978,350,PZ,8.58,8.93,7.58,05:30:00,20:00:00,05:30:00,14.5,9.5,0.579310345,3.410526316,1.160,63.8,1.09144875,1,2,88.2221285,6.6,,,2,4.4,2.2,3,0.6,2.6,0.4
9,28/08/12,9,27.997,400,PZ,5.74,6.13,4.52,05:30:00,20:00:00,05:30:00,14.5,9.5,0.645517241,4.067368421,1.050,57.75,1.03992883,0,,,,,,,,,,,,
30,28/08/12,9,28.977,450,PZ,6.48,6.99,5.195,05:30:00,20:00:00,05:30:00,14.5,9.5,0.844137931,4.534736842,0.740,40.7,1.22722382,0.277777778,0,,,,,0,,,,,,
2,28/08/12,9,16.046,0,PZN,8.42,8.97,7.43,05:30:00,20:00:00,05:30:00,14.5,9.5,0.910344828,3.890526316,6.670,366.85,0.83495441,0,1.6,34.87585355,2.6,,,1.6,1.6,1,0.6,,0.6,0.6
24,28/08/12,9,13.987,50,PZN,7.47,8.45,7.78,05:30:00,20:00:00,05:30:00,14.5,9.5,1.622068966,1.692631579,5.100,280.5,0.9551932,0.015625,,,,,,,,,,,,
5,28/08/12,9,18.657,100,PZN,6.44,7.46,6.35,05:30:00,20:00:00,05:30:00,14.5,9.5,1.688275862,2.804210526,4.440,244.2,0.45150896,0.166666667,0.388889,36.87787252,5,,,0.388889,1.4,3.6,0.4,,1.4,0.4
16,28/08/12,9,20.135,150,PZN,5.66,6.96,5.23,05:30:00,20:00:00,05:30:00,14.5,9.5,2.151724138,4.370526316,4.210,231.55,0.9439618,0,0,2.340132442,0.2,,,0,,0.2,,,,
10,28/08/12,9,22.3658,200,PZN,5.69,7.03,6.78,05:30:00,20:00:00,05:30:00,14.5,9.5,2.217931034,0.631578947,3.730,205.15,1.26125661,0.035087719,0,,0.6,,,0,0.2,0.4,,,0.4,0.2
26,28/08/12,9,23.975,250,PZN,5.07,6.57,5.22,05:30:00,20:00:00,05:30:00,14.5,9.5,2.482758621,3.410526316,3.500,192.5,1.17885277,0.609756098,,,,,,,,,,,,
4,28/08/12,9,25.3,300,PZN,5.35,6.87,5.32,05:30:00,20:00:00,05:30:00,14.5,9.5,2.515862069,3.915789474,3.330,183.15,0.68889071,0,0.135,37.10830254,5.8,,,0.135,0.4,5.4,,,2.2,0.4
7,28/08/12,9,26.035,350,PZN,5.26,6.98,5.63,05:30:00,20:00:00,05:30:00,14.5,9.5,2.846896552,3.410526316,2.180,119.9,0.88984337,0,0.43,2.652634764,4.6,,,0.43,1.4,3.2,0.2,,3,1.2
23,28/08/12,9,27.9765,400,PZN,3.47,5.38,4.03,05:30:00,20:00:00,05:30:00,14.5,9.5,3.16137931,3.410526316,2.120,116.6,1.18306059,0.125,2.6,,,,,2.6,,,,,,
18,28/08/12,9,28.997,450,PZN,3.32,5.32,4.25,05:30:00,20:00:00,05:30:00,14.5,9.5,3.310344828,2.703157895,0.810,44.55,1.17409119,0,,18.39918196,3.6,,,,2.6,1,0.4,,0.8,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
